"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86","Tobias"
"GSM159073","1","0","0","0","0","1","0","0"
"GSM159074","0","1","1","0","1","0","1","0"
"GSM159075","1","1","0","1","1","1","1","1"
"GSM159076","0","1","1","1","1","1","1","0"
"GSM159077","1","0","0","0","0","1","0","1"
"GSM159078","1","1","0","1","1","1","1","0"
"GSM159079","1","0","0","0","0","0","0","1"
"GSM159080","0","1","1","1","1","0","1","0"
"GSM159081","0","1","1","1","0","0","1","0"
"GSM159082","0","1","1","1","0","1","1","0"
"GSM159083","0","0","1","1","0","0","1","0"
"GSM159084","0","0","0","1","0","0","1","0"
"GSM159085","1","0","0","0","0","1","0","0"
"GSM159086","0","1","1","0","0","0","1","1"
"GSM159087","1","1","1","1","1","1","1","0"
"GSM159088","0","0","0","0","0","0","1","1"
"GSM159089","1","0","0","0","0","1","1","1"
"GSM159090","0","1","1","1","1","0","1","0"
"GSM159091","1","1","1","1","1","1","1","0"
"GSM159092","0","1","1","1","1","1","1","0"
"GSM159093","0","1","1","0","0","0","1","0"
"GSM159094","1","1","0","1","1","1","1","0"
"GSM159095","0","0","1","1","1","1","1","1"
"GSM159096","1","0","0","1","1","1","1","0"
"GSM159097","0","1","1","1","1","0","1","0"
"GSM159098","1","1","1","1","1","0","1","0"
"GSM159099","0","0","0","0","0","0","0","1"
"GSM159100","1","0","0","0","0","1","0","1"
"GSM159101","1","1","0","0","0","1","0","0"
"GSM159102","0","0","1","0","0","0","1","0"
"GSM159103","0","0","0","0","0","0","1","0"
"GSM159104","0","1","0","1","1","0","1","0"
"GSM159105","0","0","1","1","0","0","1","0"
"GSM159106","1","0","0","0","0","1","0","0"
"GSM159107","0","1","1","1","1","1","1","0"
"GSM159108","0","0","1","0","0","0","1","0"
"GSM159109","1","1","1","1","1","0","1","0"
"GSM159110","0","0","0","0","0","0","1","0"
"GSM159111","0","1","1","1","1","0","1","0"
"GSM159112","1","0","0","0","0","0","1","0"
"GSM159113","1","0","0","0","0","1","0","0"
"GSM159115","1","1","1","1","1","1","1","1"
"GSM159116","0","0","1","1","0","1","1","1"
"GSM159117","1","0","0","0","1","0","1","0"
"GSM159118","0","0","1","0","0","0","1","0"
"GSM159119","1","1","0","1","1","1","1","0"
"GSM159120","0","1","0","1","1","0","1","1"
"GSM159121","0","0","0","0","0","0","0","0"
"GSM159122","0","1","1","1","1","1","1","0"
"GSM159123","1","1","0","1","1","0","1","0"
"GSM159124","0","0","1","1","0","0","1","0"
"GSM159125","1","0","0","0","0","1","1","0"
"GSM159126","0","0","0","0","0","0","1","0"
"GSM159127","1","0","0","0","0","1","0","1"
"GSM159128","1","0","0","1","1","1","1","0"
"GSM159129","1","1","0","0","1","1","1","0"
"GSM159130","1","0","0","0","0","1","1","0"
"GSM159131","1","1","1","1","1","1","1","0"
"GSM159132","1","0","1","1","1","0","1","0"
"GSM159133","1","1","0","1","1","1","1","0"
"GSM159134","0","1","1","0","1","0","1","0"
"GSM159135","1","1","1","1","0","1","1","0"
"GSM159136","1","0","0","1","0","1","1","0"
"GSM159138","1","1","0","1","1","0","1","0"
"GSM159139","0","0","1","0","1","1","1","0"
"GSM159140","1","0","0","1","1","1","1","0"
"GSM159141","1","1","0","1","1","1","1","0"
"GSM159142","0","1","1","0","1","1","1","0"
"GSM159143","0","1","1","1","0","0","1","0"
"GSM159144","0","0","1","1","1","0","1","0"
"GSM159145","1","0","0","0","0","1","1","0"
"GSM159147","0","1","1","1","0","1","1","0"
"GSM159148","1","0","0","0","0","1","0","0"
"GSM159149","0","1","1","1","1","0","1","0"
"GSM159150","1","1","1","1","1","1","1","0"
"GSM159151","1","1","1","1","1","1","1","0"
"GSM159152","0","1","0","0","1","1","1","0"
"GSM159153","0","1","1","0","1","0","1","0"
"GSM159154","0","0","1","0","0","1","1","1"
"GSM159155","0","0","1","0","1","0","1","1"
"GSM159156","0","0","0","0","0","0","0","1"
"GSM159157","1","0","0","0","1","1","1","0"
"GSM159158","1","0","0","0","0","0","1","0"
"GSM159159","0","0","1","1","0","1","1","1"
"GSM159160","0","1","0","0","0","0","1","0"
"GSM159161","0","0","0","0","0","0","1","0"
"GSM159162","1","0","0","0","0","0","1","0"
"GSM159163","0","0","0","0","0","0","0","1"
"GSM159164","1","1","0","0","1","1","1","0"
"GSM159165","0","1","1","1","1","0","1","0"
"GSM159166","0","0","1","1","0","0","1","0"
"GSM159167","0","1","1","1","1","0","1","0"
"GSM159168","0","0","1","0","1","0","1","0"
"GSM159169","0","0","0","0","0","0","1","0"
"GSM159170","0","1","1","1","1","0","1","0"
"GSM159171","1","1","1","1","1","1","1","0"
"GSM768680","1","0","0","0","1","1","1","0"
"GSM768681","0","0","1","1","1","0","1","0"
"GSM768682","1","0","0","0","1","1","1","1"
"GSM768683","1","0","0","0","0","1","0","1"
"GSM768684","0","0","0","1","0","0","1","0"
"GSM768685","0","1","1","1","1","0","1","0"
"GSM768686","1","1","0","1","1","0","1","0"
"GSM768687","0","1","1","1","1","0","1","0"
"GSM768688","0","0","0","0","0","0","0","1"
"GSM768689","0","0","0","0","0","1","1","0"
"GSM768690","1","1","1","1","1","1","1","0"
"GSM768691","0","1","1","0","0","0","1","0"
"GSM768692","1","0","0","0","0","1","0","0"
"GSM768693","1","1","0","1","1","1","1","0"
"GSM768694","1","0","0","1","1","1","1","0"
"GSM768695","1","1","0","0","0","1","1","0"
"GSM768696","0","0","1","0","1","1","1","1"
"GSM768697","1","1","0","0","0","1","1","1"
"GSM768698","0","1","1","1","1","0","1","0"
"GSM768699","0","0","0","0","0","1","1","0"
"GSM768700","0","1","1","1","1","0","1","0"
"GSM768701","1","1","1","0","0","1","0","0"
"GSM768702","0","1","1","1","1","0","1","0"
"GSM768703","0","0","0","0","0","0","0","1"
"GSM768704","1","0","0","0","1","0","1","0"
"GSM768705","0","1","1","0","0","0","1","0"
"GSM768706","0","1","1","1","1","0","1","0"
"GSM768707","0","0","0","0","0","0","1","1"
"GSM768708","1","0","0","0","0","1","1","1"
"GSM768709","0","0","1","0","0","0","1","0"
"GSM768710","1","0","0","0","0","0","0","1"
"GSM768711","1","0","0","0","0","0","1","0"
"GSM768712","0","1","0","1","1","0","1","0"
"GSM768713","0","0","1","0","0","0","1","0"
"GSM768714","0","0","1","0","1","1","1","0"
"GSM768715","0","0","1","0","0","0","1","1"
"GSM768716","0","1","1","1","1","0","1","0"
"GSM768717","1","1","1","1","1","1","1","0"
"GSM768718","1","1","0","1","1","1","1","0"
"GSM768719","0","1","1","0","0","0","1","0"
"GSM768720","0","1","0","1","1","0","1","0"
"GSM768721","0","1","0","1","1","1","1","0"
"GSM768722","0","0","0","0","0","0","1","0"
"GSM768723","0","0","1","0","1","0","1","0"
"GSM768724","1","0","0","0","0","1","1","1"
"GSM768727","0","0","0","0","0","0","0","0"
"GSM768734","0","0","0","0","0","1","1","1"
"GSM768735","1","1","0","0","0","0","1","0"
"GSM768738","1","1","1","1","1","1","1","0"
"GSM768739","0","1","0","1","1","0","1","0"
"GSM768740","1","0","0","0","0","1","0","0"
"GSM768742","1","0","0","1","1","1","1","0"
"GSM768743","1","1","1","1","1","1","1","0"
"GSM768744","1","1","0","0","0","0","0","0"
"GSM768745","0","1","1","0","0","0","1","0"
"GSM768746","0","1","1","1","1","1","1","0"
"GSM768747","0","0","0","1","0","1","1","0"
"GSM768748","0","0","1","0","1","0","1","1"
"GSM768749","1","1","0","1","1","1","1","0"
"GSM768751","1","0","1","0","0","1","1","0"
"GSM768752","1","0","1","0","1","1","1","0"
"GSM768753","1","0","1","0","0","0","0","0"
"GSM768754","0","1","0","1","1","0","1","0"
